name,country,linked_to,link,jurisdiction,year,active,yr_active,gender,term
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2011,1,7,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2010,1,6,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2009,1,5,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2008,1,4,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2007,1,3,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2006,1,2,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2005,1,1,male,PACHECO
"PANIAGUA MONTES DE OCA, ANA MARIA",,FUNDACION MINISTERIO EVANGELICO PENTECOSTAL LA SENDA ANTIGUA,secretary of,AW,2016,1,1,female,MONTES
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2016,1,12,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2015,1,11,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2014,1,10,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2013,1,9,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2012,1,8,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2011,1,7,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2010,1,6,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2009,1,5,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2008,1,4,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2007,1,3,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2006,1,2,male,ANDINO
"SANCHEZ, ANDINO BENJAMIN",,BIG JOE RACING TEAM FOUNDATION,2nd treasurer of,AW,2005,1,1,male,ANDINO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2016,1,7,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2015,1,6,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2014,1,5,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2013,1,4,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2012,1,3,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2011,1,2,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,ALL SAFETY WEAR,proxy of,AW,2010,1,1,male,PACHECO
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2016,1,12,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2015,1,11,male,ALZATE
