Company;Country;Doc id;Cartel;a.k.a;Impact Report Page
DOXA S.A.;Colombia;21;North Valle Drug Cartel;;181
EAGLE COMMUNICATION BROKERS INC.;Panama;21;North Valle Drug Cartel;;181
FUNDACION CENTRO FRUTICOLA ANDINO;Colombia;21;North Valle Drug Cartel;;181
FUNDACION CENTRO DE INVESTIGACION HORTIFRUTICOLA DE COLOMBIA;Colombia;21;North Valle Drug Cartel;;181
GBS TRADING S.A.;Colombia;21;North Valle Drug Cartel;;181
L.GR. E.U.;Colombia;21;North Valle Drug Cartel;;181
JEHOVA LTDA.;Colombia;21;North Valle Drug Cartel;;181
MANUFACTURAS REAL S.A.;Colombia;21;North Valle Drug Cartel;;181
MELON LTDA.;Colombia;21;North Valle Drug Cartel;;181
PLAZA REAL LTDA.;Colombia;21;North Valle Drug Cartel;;181
WORLD WORKING COMERCIALIZADORA INTERNACIONAL S.A.;Colombia;21;North Valle Drug Cartel;;181
KATTUS CORPORATION;Barbados;21;North Valle Drug Cartel;;181
MLA INVESTMENTS INC.;British Virgin Islands;21;North Valle Drug Cartel;;181
BRUNELLO LTD.;Cayman Islands;21;North Valle Drug Cartel;;181
JAMCE INVESTMENTS LTD;Cayman Islands;21;North Valle Drug Cartel;;181
VILLAROSA INVESTMENTS CORPORATION;Panama;21;North Valle Drug Cartel;;181
